table_index,table_caption,row,col,col_name,value
2,,8,2,Silver,Dmitry Inzarkin(RUS)
2,,8,3,Bronze,Dmitry Semenenko(UKR)
2,,9,0,Games,2022 Birmingham
2,,9,1,Gold,Volodymyr Rysiyev(UKR)
2,,9,2,Silver,Ian Bell(ISV)
2,,9,3,Bronze,Danylo Kovalov(UKR)
3,,0,0,Games,2009 Kaohsiung
3,,0,1,Gold,Michael Tuchscherer(USA)
3,,0,2,Silver,Oleksandr Shepel(UKR)
3,,0,3,Bronze,Valeriy Karpov(UKR)
3,,1,0,Games,2013 Cali
3,,1,1,Gold,Andrey Konovalov(RUS)
3,,1,2,Silver,Viktor Testsov(UKR)
3,,1,3,Bronze,Carl Yngvar Christensen(NOR)
3,,2,0,Games,2017 Wroclaw
3,,2,1,Gold,Oleksii Rokochiy(UKR)
3,,2,2,Silver,Joseph Cappellino(USA)
3,,2,3,Bronze,Nurlan Yeshmakhanov(KAZ)
3,,3,0,Games,2022 Birmingham
3,,3,1,Gold,Oleksiy Bychkov(UKR)
3,,3,2,Silver,Sen Yang(TPE)
3,,3,3,Bronze,Tony Cliffe(GBR)
13,,0,0,Games,1989 Karlsruhe
13,,0,1,Gold,Anna-Liisa Prinkkala(FIN)
13,,0,2,Silver,Hisako Yoshida(JPN)
13,,0,3,Bronze,Rekha Mal(IND)
13,,1,0,Games,1993 The Hague
13,,1,1,Gold,Claudine Cognacq(DEN)
13,,1,2,Silver,Raija Koskinen(FIN)
13,,1,3,Bronze,Gema Christobal(ESP)
13,,2,0,Games,1997 Lahti
13,,2,1,Gold,Lin Li-min(TPE)
13,,2,2,Silver,Raija Koskinen(FIN)
13,,2,3,Bronze,Nadezhda Mir(KAZ)
13,,3,0,Games,2001 Akita
13,,3,1,Gold,Raija Koskinen(FIN)
13,,3,2,Silver,Chen Kuan-ting(TPE)
13,,3,3,Bronze,Yukako Fukushima(JPN)
13,,4,0,Games,2005 Duisburg
13,,4,1,Gold,Olesya Lafina(RUS)
13,,4,2,Silver,Olena Dmytruk(UKR)
13,,4,3,Bronze,Chen Wei-ling(TPE)
13,,5,0,Games,2009 Kaohsiung
13,,5,1,Gold,Chen Wei-ling(TPE)
13,,5,2,Silver,Yukako Fukushima(JPN)
13,,5,3,Bronze,Sri Hartati(INA)
13,,6,0,Games,2013 Cali
13,,6,1,Gold,Natalia Salnikova(RUS)
13,,6,2,Silver,Chen Wei-ling(TPE)
13,,6,3,Bronze,Yukako Fukushima(JPN)
13,,7,0,Games,2017 Wroclaw
13,,7,1,Gold,Natalia Salnikova(RUS)
13,,7,2,Silver,Yukako Fukushima(JPN)
13,,7,3,Bronze,Chen Wei-ling(TPE)
13,,8,0,Games,2022 Birmingham
13,,8,1,Gold,Yukako Fukushima(JPN)
13,,8,2,Silver,Zuzanna Kula(POL)
13,,8,3,Bronze,Anastasiya Derevyanko(UKR)
14,,0,0,Games,1989 Karlsruhe
14,,0,1,Gold,Joy Burt(CAN)
14,,0,2,Silver,Silvana Bollmann(GER)
14,,0,3,Bronze,Jenny Hunter(GBR)
14,,1,0,Games,1993 The Hague
14,,1,1,Gold,Carrie Boudreau(USA)
14,,1,2,Silver,Beate Amdahl(NOR)
14,,1,3,Bronze,Ingeborg Marx(BEL)
14,,2,0,Games,1997 Lahti
14,,2,1,Gold,Carrie Boudreau(USA)
14,,2,2,Silver,Ingeborg Marx(BEL)
14,,2,3,Bronze,Irene Frangi(ARG)
14,,3,0,Games,2001 Akita
14,,3,1,Gold,Marina Kudinova(RUS)
14,,3,2,Silver,Irina Abramova(RUS)
14,,3,3,Bronze,Pirjo Savola(FIN)
14,,4,0,Games,2005 Duisburg
14,,4,1,Gold,Larysa Vitsiyevska(UKR)
14,,4,2,Silver,Priscilla Ribic(USA)
14,,4,3,Bronze,Nadezhda Malyugina(UZB)
14,,5,0,Games,2009 Kaohsiung
14,,5,1,Gold,Noviana Sari(INA)
14,,5,2,Silver,Tetyana Prymenchuk(UKR)
14,,5,3,Bronze,Zhanna Ivanova(UKR)
14,,6,0,Games,2013 Cali
14,,6,1,Gold,Larysa Soloviova(UKR)
14,,6,2,Silver,Tetyana Akhmamyetyeva(UKR)
14,,6,3,Bronze,Wu Hui-chun(TPE)
14,,7,0,Games,2017 Wroclaw
14,,7,1,Gold,Larysa Soloviova(UKR)
14,,7,2,Silver,Anna Ryzhkova(RUS)
14,,7,3,Bronze,Wu Hui-chun(TPE)
14,,8,0,Games,2022 Birmingham
14,,8,1,Gold,Carola Galla(ITA)
14,,8,2,Silver,Taylor Lachapelle(ISV)
14,,8,3,Bronze,Larysa Soloviova(UKR)
15,,0,0,Games,1989 Karlsruhe
15,,0,1,Gold,Liz Odendaal(NED)
15,,0,2,Silver,Sumita Laha(IND)
15,,0,3,Bronze,Judy Oakes(GBR)
15,,1,0,Games,1993 The Hague
15,,1,1,Gold,Cathy Millen(NZL)
15,,1,2,Silver,Tammy Diande(USA)
15,,1,3,Bronze,Shelby Corson(USA)
15,,2,0,Games,1997 Lahti
15,,2,1,Gold,Lisa Sjöstrand(SWE)
15,,2,2,Silver,Lee Chia-sui(TPE)
15,,2,3,Bronze,Chao Chen-yeh(TPE)
15,,3,0,Games,2001 Akita
15,,3,1,Gold,Svetlana Miklashevich(RUS)
15,,3,2,Silver,Natalia Payusova(RUS)
15,,3,3,Bronze,Chao Chen-yeh(TPE)
15,,4,0,Games,2005 Duisburg
15,,4,1,Gold,Marina Kudinova(UKR)
15,,4,2,Silver,Galina Karpova(RUS)
15,,4,3,Bronze,Irina Yavorska(UKR)
15,,5,0,Games,2009 Kaohsiung
15,,5,1,Gold,Larysa Soloviova(UKR)
15,,5,2,Silver,Antonietta Orsini(ITA)
15,,5,3,Bronze,Priscilla Ribic(USA)
15,,6,0,Games,2013 Cali
15,,6,1,Gold,Ana Castellain(BRA)
15,,6,2,Silver,Yulia Medvedeva(RUS)
15,,6,3,Bronze,Priscilla Ribic(USA)
15,,7,0,Games,2017 Wroclaw
15,,7,1,Gold,Ana Castellain(BRA)
15,,7,2,Silver,Priscilla Ribic(USA)
15,,7,3,Bronze,Yenifer Canelon(VEN)
15,,8,0,Games,2022 Birmingham
15,,8,1,Gold,Agata Sitko(POL)
15,,8,2,Silver,Kelsey McCarthy(ISV)
15,,8,3,Bronze,Francesca Parrello(ITA)
16,,0,0,Games,2009 Kaohsiung
16,,0,1,Gold,Iryna Yavorska-Karpova(UKR)
16,,0,2,Silver,Jessica O'Donnell(USA)
16,,0,3,Bronze,Chang Ya-wen(TPE)
16,,1,0,Games,2013 Cali
16,,1,1,Gold,Olena Kozlova(UKR)
16,,1,2,Silver,Ielja Strik(NED)
16,,1,3,Bronze,Svetlana Tcvetkova(RUS)
16,,2,0,Games,2017 Wroclaw
16,,2,1,Gold,Bonica Lough(USA)
16,,2,2,Silver,Tetyana Melnyk(UKR)
16,,2,3,Bronze,Liane Blyn(USA)
16,,3,0,Games,2022 Birmingham
16,,3,1,Gold,Rhaea Stinn(CAN)
16,,3,2,Silver,Bonica Brown(USA)
16,,3,3,Bronze,Tetyana Melnyk(UKR)
